ก.แกรู้ไหมอ้ายหมอนั่นสอบตกอีกแล้ว|abbreviation,example sentence
เข้าแฝ่|
เขาพระสุเมรุ|proper noun
เขิน|adjective,proper noun,verb,noun
เขินอาย|adjective
เขี่ย|verb
เขี่ยทิ้ง|verb
เขียง|noun
เขียงหมู|noun
เขียด|noun
เขียน|verb,transitive,intransitive,noun,adjective
เขียนข้อความคิดเห็น|verb,intransitive,phrase
เขียนชวเลข|verb
เขียนด้วยมือแล้วลบด้วยเท้า|verb,phrase
เขียนถึงอายุเท่าไร|example sentence
เขียนบรรจง|verb
เขียนไปเขียนมาก็เลยกลายเป็น"นักเขียน|example sentence
เขียนไว้ดีกว่าจะได้ไม่ลืม|example sentence
เขียนไว้ดีกว่าจะได้ไม่ลืม|example sentence
เขียนสีร่ม|verb
เขียนหนังสือยังงั้นได้ยังไงล่ะ|example sentence
เขียนหรือวาดอย่างใจลอย|verb,intransitive,phrase
เขียนหวัดๆ|verb
เขียนหวัดหมายถึงการเขียนอย่างรวดเร็วไม่ต้องใช้ความประณีตหรือความชัดเจนอะไรนัก|example sentence
เขียบ|proper noun,particle
เขียม|
เขียว|adjective,noun,proper noun,person,colloquial
เขียวขจี|adjective
เขียวชอุ่ม|adjective
เขียวใสแสงมรกต|noun,phrase,colloquial,poetic
เขี้ยว|noun
เขี้ยวแก้ว|noun
เขี้ยวลากดิน|adjective,phrase
เขื่อง|adjective,colloquial,colloquial
